integration_row_key	a_row_key	nct_id	om_index	group_id	obs_id_b_form	om_title	group_title	payload_shard	cache_revision	a_present	a_reported_denominator_participants	a_denominator_state	a_denominator_provenance	a_n_source_categories	a_n_categories_kept_by_producer	a_category_preservation_state	a_proportion_suitability	a_unresolved_reason_codes	a_advisory_flag_codes	a_evaluable_n_minus_reported_denominator	a_all_categories_sum_minus_reported_denominator	a_job1_classification_carried	a_leaf_qa_coverage	c_join_state	c_join_bridge	c_arm_link_state	c_arm_link_evidence_code	c_confirmed_registry_arm_label	c_confirmed_registry_arm_type	c_candidate_registry_arm_labels	c_control_status	c_contested_flag	c_sole_arm_multi_results_group_flag	c_arm_set_type_state	c_disposition_vs_job3	b_join_state	b_cohort_key	b_n_observations_in_cohort_set	b_sibling_observation_ids	b_unresolved_states	b_selection_status	b_duplicate_encoding_candidate	b_denominator_state	b_denominator_value_participants	b_reporting_status_state	b_usable_for_proportion	b_unusable_reason	b_endpoint_constructs	b_assessment_criteria	b_noncollection_statement	integration_state	blocking_conditions	contradictions_retained	job1_arithmetic_independently_confirmed	job2_independently_confirmed	job3_independently_confirmed	rate_derived	unique_patient_total_derived	control_comparison_derived	source_pointer
NCT00066222|OM5|OG000	NCT00066222|OM5|OG000	NCT00066222	5	OG000	NCT00066222#om5#OG000	Tumor Response	Radiation Therapy + Chemotherapy	ctg_results_bor_1999_2009	216bd1b5fb25a56b90ef3cc2373e1fe68322708f	yes	68	READ_FROM_SOURCE	outcomeMeasures[5].denoms[units=Participants].counts[groupId=OG000].value	4	4	FULL_VECTOR	NOT_REFUTED_BY_THIS_COMPONENT	NONE	NONE	0	0	valid	NONE	JOINED_UNIQUE	nct+om_title+group_title (C carries no om_index/group_id)	CONFIRMED	LABEL_BYTE_EXACT	Radiation Therapy + Chemotherapy	EXPERIMENTAL		NOT_CONTROL_CONFIRMED		NO	ALL_ARMS_NON_CONTROL_TYPED	UNCHANGED_CLASS	TRIAL_OUTSIDE_B_CORPUS_SCOPE															BLOCKED	B_NOT_ASSESSED:TRIAL_OUTSIDE_B_CORPUS_SCOPE|B_DISJOINTNESS_UNVERIFIABLE_NO_PARTICIPANT_FLOW	ROW_NOT_ASSESSED_BY_B	true	false	false	NOT_DERIVED	NOT_DERIVED	NOT_DERIVED	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00066222] :: outcomeMeasures[5] :: groups[OG000]
NCT00183820|OM0|OG000	NCT00183820|OM0|OG000	NCT00183820	0	OG000	NCT00183820#om0#OG000	Tumor Response	Paclitaxel, Gemcitabine, and Oxaliplatin	ctg_results_bor_1999_2009	216bd1b5fb25a56b90ef3cc2373e1fe68322708f	yes	29	READ_FROM_SOURCE	outcomeMeasures[0].denoms[units=Participants].counts[groupId=OG000].value	4	4	FULL_VECTOR	NOT_REFUTED_BY_THIS_COMPONENT	NONE	NONE	0	0	valid	NONE	JOINED_UNIQUE	nct+om_title+group_title (C carries no om_index/group_id)	CONFIRMED	LABEL_CASE_AND_WHITESPACE_ONLY	paclitaxel, gemcitabine, and oxaliplatin	EXPERIMENTAL		NOT_CONTROL_CONFIRMED		NO	ALL_ARMS_NON_CONTROL_TYPED	UNCHANGED_CLASS	TRIAL_OUTSIDE_B_CORPUS_SCOPE															BLOCKED	B_NOT_ASSESSED:TRIAL_OUTSIDE_B_CORPUS_SCOPE|B_DISJOINTNESS_UNVERIFIABLE_NO_PARTICIPANT_FLOW	ROW_NOT_ASSESSED_BY_B	true	false	false	NOT_DERIVED	NOT_DERIVED	NOT_DERIVED	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00183820] :: outcomeMeasures[0] :: groups[OG000]
NCT00298896|OM1|OG000	NCT00298896|OM1|OG000	NCT00298896	1	OG000	NCT00298896#om1#OG000	Best Overall Response	SNS-595	ctg_results_bor_1999_2009	216bd1b5fb25a56b90ef3cc2373e1fe68322708f	yes	47	READ_FROM_SOURCE	outcomeMeasures[1].denoms[units=Participants].counts[groupId=OG000].value	4	4	FULL_VECTOR	NOT_REFUTED_BY_THIS_COMPONENT	NONE	NONE	0	0	valid	NONE	JOINED_UNIQUE	nct+om_title+group_title (C carries no om_index/group_id)	CONFIRMED	LABEL_BYTE_EXACT	SNS-595	EXPERIMENTAL		NOT_CONTROL_CONFIRMED		NO	ALL_ARMS_NON_CONTROL_TYPED	UNCHANGED_CLASS	JOINED_UNIQUE	NCT00298896||sns-595	2	NCT00298896#om0#OG000|NCT00298896#om1#OG000	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_OUTCOME_TYPES	NOT_SELECTED_BY_DESIGN	False	PRESENT	47	POSTED	True		OVERALL_RESPONSE|BOR|RESPONSE_CATEGORY_DIST	RECIST	False	BLOCKED	B_COMPETING_RECORDS_UNRESOLVED|B_DISJOINTNESS_UNVERIFIABLE_NO_PARTICIPANT_FLOW	A_NOT_REFUTED_WHILE_B_SET_UNRESOLVED	true	false	false	NOT_DERIVED	NOT_DERIVED	NOT_DERIVED	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00298896] :: outcomeMeasures[1] :: groups[OG000]
NCT00301067|OM2|OG000	NCT00301067|OM2|OG000	NCT00301067	2	OG000	NCT00301067#om2#OG000	Tumor Response	Temozolomide and Calcitriol (Cohort 1-3+Expansion)	ctg_results_bor_1999_2009	216bd1b5fb25a56b90ef3cc2373e1fe68322708f	yes	20	READ_FROM_SOURCE	outcomeMeasures[2].denoms[units=Participants].counts[groupId=OG000].value	4	4	FULL_VECTOR	NOT_REFUTED_BY_THIS_COMPONENT	NONE	NONE	0	0	valid	NONE	JOINED_UNIQUE	nct+om_title+group_title (C carries no om_index/group_id)	CONFIRMED_TYPE_ONLY	LEAF_ARM_IDENTITY_NOT_BOUND_ARM_SET_TYPE_INVARIANT				NOT_CONTROL_BY_ARM_SET_TYPE_INVARIANT		NO	ALL_ARMS_NON_CONTROL_TYPED	CHANGED_CLASS:UNKNOWN->NOT_CONTROL	MEASURE_OUTSIDE_B_TITLE_BOUNDARY															BLOCKED	C_ARM_LINK_NOT_CONFIRMED:CONFIRMED_TYPE_ONLY|B_NOT_ASSESSED:MEASURE_OUTSIDE_B_TITLE_BOUNDARY|B_DISJOINTNESS_UNVERIFIABLE_NO_PARTICIPANT_FLOW	A_NOT_REFUTED_WHILE_C_ARM_CONFIRMED_TYPE_ONLY|ROW_NOT_ASSESSED_BY_B	true	false	false	NOT_DERIVED	NOT_DERIVED	NOT_DERIVED	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00301067] :: outcomeMeasures[2] :: groups[OG000]
NCT00389805|OM6|OG000	NCT00389805|OM6|OG000	NCT00389805	6	OG000	NCT00389805#om6#OG000	Number of Participants With Response to Therapy as Measured by RECIST (Phase I)	Arm A	ctg_results_bor_1999_2009	216bd1b5fb25a56b90ef3cc2373e1fe68322708f	yes	15	READ_FROM_SOURCE	outcomeMeasures[6].denoms[units=Participants].counts[groupId=OG000].value	4	4	FULL_VECTOR	NOT_REFUTED_BY_THIS_COMPONENT	NONE	NONE	0	0	valid	NONE	JOINED_UNIQUE	nct+om_title+group_title (C carries no om_index/group_id)	UNKNOWN_IN_THIS_CACHE	LEAF_NO_ARM_GROUPS_IN_THIS_CACHE				UNKNOWN_IN_THIS_CACHE		NO	NO_ARMS_REGISTERED_IN_THIS_CACHE	CHANGED_CLASS:NOT_CONTROL->UNKNOWN	TRIAL_OUTSIDE_B_CORPUS_SCOPE															BLOCKED	C_ARM_LINK_NOT_CONFIRMED:UNKNOWN_IN_THIS_CACHE|C_CONTROL_STATUS_UNKNOWN_IN_THIS_CACHE|B_NOT_ASSESSED:TRIAL_OUTSIDE_B_CORPUS_SCOPE|B_DISJOINTNESS_UNVERIFIABLE_NO_PARTICIPANT_FLOW	A_NOT_REFUTED_WHILE_C_ARM_UNKNOWN_IN_THIS_CACHE|ROW_NOT_ASSESSED_BY_B	true	false	false	NOT_DERIVED	NOT_DERIVED	NOT_DERIVED	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00389805] :: outcomeMeasures[6] :: groups[OG000]
NCT00389805|OM6|OG001	NCT00389805|OM6|OG001	NCT00389805	6	OG001	NCT00389805#om6#OG001	Number of Participants With Response to Therapy as Measured by RECIST (Phase I)	Arm B	ctg_results_bor_1999_2009	216bd1b5fb25a56b90ef3cc2373e1fe68322708f	yes	12	READ_FROM_SOURCE	outcomeMeasures[6].denoms[units=Participants].counts[groupId=OG001].value	4	4	FULL_VECTOR	NOT_REFUTED_BY_THIS_COMPONENT	NONE	NONE	0	0	valid	NONE	JOINED_UNIQUE	nct+om_title+group_title (C carries no om_index/group_id)	UNKNOWN_IN_THIS_CACHE	LEAF_NO_ARM_GROUPS_IN_THIS_CACHE				UNKNOWN_IN_THIS_CACHE		NO	NO_ARMS_REGISTERED_IN_THIS_CACHE	CHANGED_CLASS:NOT_CONTROL->UNKNOWN	TRIAL_OUTSIDE_B_CORPUS_SCOPE															BLOCKED	C_ARM_LINK_NOT_CONFIRMED:UNKNOWN_IN_THIS_CACHE|C_CONTROL_STATUS_UNKNOWN_IN_THIS_CACHE|B_NOT_ASSESSED:TRIAL_OUTSIDE_B_CORPUS_SCOPE|B_DISJOINTNESS_UNVERIFIABLE_NO_PARTICIPANT_FLOW	A_NOT_REFUTED_WHILE_C_ARM_UNKNOWN_IN_THIS_CACHE|ROW_NOT_ASSESSED_BY_B	true	false	false	NOT_DERIVED	NOT_DERIVED	NOT_DERIVED	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00389805] :: outcomeMeasures[6] :: groups[OG001]
NCT00600340|OM3|OG000	NCT00600340|OM3|OG000	NCT00600340	3	OG000	NCT00600340#om3#OG000	Best Overall Response (ITT Population)	Bevacizumab Plus Paclitaxel	ctg_results_bor_1999_2009	216bd1b5fb25a56b90ef3cc2373e1fe68322708f	yes	285	READ_FROM_SOURCE	outcomeMeasures[3].denoms[units=Participants].counts[groupId=OG000].value	5	4	FULL_VECTOR	NOT_REFUTED_BY_THIS_COMPONENT	NONE	NON_EVALUABLE_CATEGORY_DROPPED_BY_PRODUCER	-15	0	unsupported	LEAF-QA-group0.tsv	JOINED_UNIQUE	nct+om_title+group_title (C carries no om_index/group_id)	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	A Bev+Pac	ACTIVE_COMPARATOR		CONTROL_ACTIVE_COMPARATOR_CONFIRMED		NO	ALL_ARMS_CONTROL_TYPED	CHANGED_CLASS:UNKNOWN->CONTROL_SUPPORTED	JOINED_UNIQUE	NCT00600340||bevacizumab plus paclitaxel	8	NCT00600340#om3#OG000|NCT00600340#om4#OG000|NCT00600340#om5#OG000|NCT00600340#om6#OG000|NCT00600340#om7#OG000|NCT00600340#om8#OG000|NCT00600340#om9#OG000|NCT00600340#om10#OG000	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_DENOMINATORS	NOT_SELECTED_BY_DESIGN	False	PRESENT	285	POSTED	True		OVERALL_RESPONSE|BOR	RECIST	False	BLOCKED	B_COMPETING_RECORDS_UNRESOLVED|B_DISJOINTNESS_UNVERIFIABLE_NO_PARTICIPANT_FLOW	A_NOT_REFUTED_WHILE_B_SET_UNRESOLVED	true	false	false	NOT_DERIVED	NOT_DERIVED	NOT_DERIVED	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00600340] :: outcomeMeasures[3] :: groups[OG000]
NCT00600340|OM3|OG001	NCT00600340|OM3|OG001	NCT00600340	3	OG001	NCT00600340#om3#OG001	Best Overall Response (ITT Population)	Bevacizumab Plus Capecitabine	ctg_results_bor_1999_2009	216bd1b5fb25a56b90ef3cc2373e1fe68322708f	yes	279	READ_FROM_SOURCE	outcomeMeasures[3].denoms[units=Participants].counts[groupId=OG001].value	5	4	FULL_VECTOR	NOT_REFUTED_BY_THIS_COMPONENT	NONE	NON_EVALUABLE_CATEGORY_DROPPED_BY_PRODUCER	-18	0	unsupported	LEAF-QA-group0.tsv	JOINED_UNIQUE	nct+om_title+group_title (C carries no om_index/group_id)	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	B Bev+Cap	ACTIVE_COMPARATOR		CONTROL_ACTIVE_COMPARATOR_CONFIRMED		NO	ALL_ARMS_CONTROL_TYPED	CHANGED_CLASS:UNKNOWN->CONTROL_SUPPORTED	JOINED_UNIQUE	NCT00600340||bevacizumab plus capecitabine	8	NCT00600340#om3#OG001|NCT00600340#om4#OG001|NCT00600340#om5#OG001|NCT00600340#om6#OG001|NCT00600340#om7#OG001|NCT00600340#om8#OG001|NCT00600340#om9#OG001|NCT00600340#om10#OG001	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_DENOMINATORS	NOT_SELECTED_BY_DESIGN	False	PRESENT	279	POSTED	True		OVERALL_RESPONSE|BOR	RECIST	False	BLOCKED	B_COMPETING_RECORDS_UNRESOLVED|B_DISJOINTNESS_UNVERIFIABLE_NO_PARTICIPANT_FLOW	A_NOT_REFUTED_WHILE_B_SET_UNRESOLVED	true	false	false	NOT_DERIVED	NOT_DERIVED	NOT_DERIVED	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00600340] :: outcomeMeasures[3] :: groups[OG001]
NCT00600340|OM4|OG000	NCT00600340|OM4|OG000	NCT00600340	4	OG000	NCT00600340#om4#OG000	Best Overall Response (PP Population)	Bevacizumab Plus Paclitaxel	ctg_results_bor_1999_2009	216bd1b5fb25a56b90ef3cc2373e1fe68322708f	yes	266	READ_FROM_SOURCE	outcomeMeasures[4].denoms[units=Participants].counts[groupId=OG000].value	5	4	FULL_VECTOR	NOT_REFUTED_BY_THIS_COMPONENT	NONE	NON_EVALUABLE_CATEGORY_DROPPED_BY_PRODUCER	-11	0	unsupported	LEAF-QA-group0.tsv	JOINED_UNIQUE	nct+om_title+group_title (C carries no om_index/group_id)	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	A Bev+Pac	ACTIVE_COMPARATOR		CONTROL_ACTIVE_COMPARATOR_CONFIRMED		NO	ALL_ARMS_CONTROL_TYPED	CHANGED_CLASS:UNKNOWN->CONTROL_SUPPORTED	JOINED_UNIQUE	NCT00600340||bevacizumab plus paclitaxel	8	NCT00600340#om3#OG000|NCT00600340#om4#OG000|NCT00600340#om5#OG000|NCT00600340#om6#OG000|NCT00600340#om7#OG000|NCT00600340#om8#OG000|NCT00600340#om9#OG000|NCT00600340#om10#OG000	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_DENOMINATORS	NOT_SELECTED_BY_DESIGN	False	PRESENT	266	POSTED	True		OVERALL_RESPONSE|BOR	RECIST	False	BLOCKED	B_COMPETING_RECORDS_UNRESOLVED|B_DISJOINTNESS_UNVERIFIABLE_NO_PARTICIPANT_FLOW	A_NOT_REFUTED_WHILE_B_SET_UNRESOLVED	true	false	false	NOT_DERIVED	NOT_DERIVED	NOT_DERIVED	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00600340] :: outcomeMeasures[4] :: groups[OG000]
NCT00600340|OM4|OG001	NCT00600340|OM4|OG001	NCT00600340	4	OG001	NCT00600340#om4#OG001	Best Overall Response (PP Population)	Bevacizumab Plus Capecitabine	ctg_results_bor_1999_2009	216bd1b5fb25a56b90ef3cc2373e1fe68322708f	yes	265	READ_FROM_SOURCE	outcomeMeasures[4].denoms[units=Participants].counts[groupId=OG001].value	5	4	FULL_VECTOR	NOT_REFUTED_BY_THIS_COMPONENT	NONE	NON_EVALUABLE_CATEGORY_DROPPED_BY_PRODUCER	-16	0	unsupported	LEAF-QA-group0.tsv	JOINED_UNIQUE	nct+om_title+group_title (C carries no om_index/group_id)	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	B Bev+Cap	ACTIVE_COMPARATOR		CONTROL_ACTIVE_COMPARATOR_CONFIRMED		NO	ALL_ARMS_CONTROL_TYPED	CHANGED_CLASS:UNKNOWN->CONTROL_SUPPORTED	JOINED_UNIQUE	NCT00600340||bevacizumab plus capecitabine	8	NCT00600340#om3#OG001|NCT00600340#om4#OG001|NCT00600340#om5#OG001|NCT00600340#om6#OG001|NCT00600340#om7#OG001|NCT00600340#om8#OG001|NCT00600340#om9#OG001|NCT00600340#om10#OG001	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_DENOMINATORS	NOT_SELECTED_BY_DESIGN	False	PRESENT	265	POSTED	True		OVERALL_RESPONSE|BOR	RECIST	False	BLOCKED	B_COMPETING_RECORDS_UNRESOLVED|B_DISJOINTNESS_UNVERIFIABLE_NO_PARTICIPANT_FLOW	A_NOT_REFUTED_WHILE_B_SET_UNRESOLVED	true	false	false	NOT_DERIVED	NOT_DERIVED	NOT_DERIVED	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00600340] :: outcomeMeasures[4] :: groups[OG001]
