id	v1_location	v1_statement_or_label	disposition	v2_statement_or_label	why	v2_location
CM01	CONTRACT v1 §2 'Competing records are retained as an explicitly related set'	"""Genuinely duplicate encodings do not occur in this cache."""	WITHDRAWN as stated	"""No competing set is identical on every preserved identity field. That establishes NON-IDENTICAL ENCODINGS. It does not establish that duplicate encodings are absent: two records may encode one measurement in different words."""	The check compares preserved strings. Different strings do not prove different measurements.	CONTRACT-corrected-B2-...-v2.md §2
CM02	CONTRACT v1 §2 same paragraph	"""every one of them is a distinct outcome, time point or population rather than a re-encoding of the same measurement"""	WITHDRAWN as stated	"""Each of the 4,464 competing sets differs on at least one preserved field, so its members are non-identical encodings. Whether they are distinct outcomes, time points or populations is UNRESOLVED for all 4,464."""	Same root: encoding difference was read as measurement difference.	CONTRACT-corrected-B2-...-v2.md §2; artifacts/RELATED-SETS-encoding-vs-semantics-v2.tsv
CM03	SCHEMA.json v1 vocabularies.unresolved_states.DUPLICATE_ENCODING_CANDIDATE	"""competing measures are identical on every preserved identity field - a genuinely duplicate encoding rather than a distinct outcome. Observed count: 0"""	RELABELLED	"IDENTICAL_ON_ALL_PRESERVED_FIELDS__SEMANTIC_DUPLICATION_UNRESOLVED: ""identical on every preserved field. Observed count 0. Its absence says nothing about semantic duplication, which is a separate, unresolved question."""	The label named a semantic conclusion the field comparison cannot reach.	SCHEMA-v2.json vocabularies.encoding_identity_status / semantic_duplication_status
CM04	new label (v2 only)	-	ADDED	NON_IDENTICAL_ENCODING_ON_PRESERVED_FIELDS + semantic_duplication_status=UNRESOLVED__SEMANTIC_CORRESPONDENCE_NOT_ESTABLISHED, carried on all 4,464 competing sets	States what the comparison shows and leaves the semantics open.	artifacts/RELATED-SETS-encoding-vs-semantics-v2.tsv
CM05	new annotation (v2 only)	-	ADDED	distinction_basis: TEXT_DERIVED_ONLY (1,744 sets) vs INCLUDES_STRUCTURED_FIELD (2,720 sets); DISTINCTION_IS_TEXT_DERIVED_ONLY token in v2_unresolved_states	1,744 of the 4,464 sets are separated only by free-text-derived fields - exactly the case the negative control shows is not evidence of a distinct measurement. No set is merged or normalised.	artifacts/RELATED-SETS-encoding-vs-semantics-v2.tsv
CM06	GROUP-RELATIONS v1 column relation_type = POOLED_PARENT_WITH_COMPONENTS (47 rows)	relation asserted wherever the normalised parent title matched a pooled-word regex	RELABELLED at real evidence strength	26 CANDIDATE_PARENT_COMPONENT_RELATION__NAME_PATTERN_ONLY; 10 SOURCE_DESCRIBED_SUPERSET_LANGUAGE__COMPONENTS_NOT_NAMED; 11 SOURCE_STATED_PARENT_COMPONENT_RELATION__COMPONENTS_NAMED_IN_RECORD	A pooled-sounding name is not evidence of who the patients are; where a record field states the pooling, that field and its verbatim text are recorded.	artifacts/GROUP-RELATIONS-candidate-parent-component-v2.tsv columns relation_status / relation_evidence_field / relation_evidence_text / relation_evidence_strength
CM07	CONTRACT v1 §3 and GROUP-RELATIONS v1 arithmetic_note	"""parent and components are the SAME people and are never added together"""	SPLIT	The never-added-together half is KEPT unchanged. The same-people half becomes a per-row same_patients_claim: NOT ESTABLISHED for the 26 name-only rows; SOURCE_STATED, for the components the record names, for the 11 enumerated rows; scope-limited for the 10 superset-language rows.	Never adding them is a safe policy; asserting identity of patients from a name is not.	artifacts/GROUP-RELATIONS-candidate-parent-component-v2.tsv column same_patients_claim
CM08	CONTRACT v1 §3 conflict table and prose	"table lists 70 WITHIN_MEASURE_SUM_EXCEEDS_ENROLLMENT with 35 indented beneath it; prose says ""only 106 trials exceed enrollment, 35 of them ... and only 1 ..."""	RECONCILED, no total manufactured	The schema's three exact labels are DISJOINT: 70 plain, 35 pooled-label, 1 single-cohort. 106 is the non-exclusive MEMBERSHIP view (any within-measure excess) and is their union. The v1 indentation reads as if 35 were a subset of 70; it is not.	70 and 106 were used in one paragraph as if comparable, and the 35 was presented as nested.	artifacts/ENROLLMENT-EXCESS-CATEGORIES-v2.tsv
CM09	ENROLLMENT-CONFLICT v1 row NCT00756509	carries SINGLE_COHORT_EXCEEDS_ENROLLMENT...|WITHIN_MEASURE_SUM_EXCEEDS_ENROLLMENT (41 vs 34)	KEPT, with its arithmetic made explicit	That measure holds exactly ONE group, so its within-measure 'sum' IS the single cohort, not an additional summation phenomenon. The 41-vs-34 conflict stands as recorded; no field is declared wrong.	Prevents the 1 being read as a second, independent excess inside the 106.	artifacts/ENROLLMENT-EXCESS-CATEGORIES-v2.tsv row 3; check V8
CM10	DATA-SUFFICIENCY v1 item 4	"""Each set differs on a real field ... so a preference would be a scientific decision the source does not license."""	NARROWED	Each set differs on at least one preserved field. For 1,744 sets that difference is text-derived only. Neither the choice among records NOR the question of whether they are the same measurement is decidable here.	v1 conceded only that selection is undecidable; semantic duplication was treated as settled.	DATA-SUFFICIENCY-v2.md item 4
CM11	CONTRACT v1 §2 denominator table header wording and SCHEMA v1 denominator_state	"""denominator usability"" used without stating whose scope it is"	DEFINED	"""Denominator usable"" = a positive reported Participants denominator AT THIS COMPONENT'S SCOPE. It is NOT a statement of eligibility, of analysis-population membership, or of fitness for any downstream estimand."	The word 'usable' invited reading as full eligibility.	CONTRACT-...-v2.md §4; SCHEMA-v2.json denominator_usability_scope
CM12	SCHEMA v1 reporting_status_state.ABSENT_FIELD and ledger noncollection_statement	both feed the same unusable_reason string	KEPT SEPARATE, stated explicitly	Source non-collection (639 observations with a verbatim non-collection/termination statement) and an absent reportingStatus field (15 observations, 10 trials) are two different metadata states and are never collapsed into one another or into a missing value.	Restates a separation v1 implemented but did not state as a rule.	CONTRACT-...-v2.md §4; SCHEMA-v2.json metadata_state_separation
CM13	new artifact (v2 only)	-	ADDED	negative_control.py + artifacts/NEGATIVE-CONTROL-wording-only-duplicate.json: one synthetic record entered twice with harmless wording differences	v1's rule reports no duplicate candidate for it, so v1's sentence would call one record twice 'a distinct outcome, time point or population'. v2 labels it NON_IDENTICAL_ENCODING / TEXT_DERIVED_ONLY / semantics UNRESOLVED. Neither rule merges either record.	artifacts/NEGATIVE-CONTROL-wording-only-duplicate.json; check V9
CM14	distinction_basis field classification	UNIT_OF_MEASURE first classified as a structured field	CORRECTED after the negative control failed	unitOfMeasure reclassified as a free-text source string (a pure case difference in it had counted as a structured distinction). Reclassification only - NO normalisation of case, spacing, unit order, signs or misspellings is performed anywhere.	Recorded because the failing attempt is preserved: evidence/negative-control-attempt-01.{out,err} (exit 1) then attempt-02 (exit 0).	relabel_v2.py TEXT_DERIVED; negative_control.py TEXT_DERIVED
