candidate	derived_field	derived_value	source_field	source_value	hit_class	changes_window_classification	error_kind	note
CDH11	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
CDH11	plasma_membrane_confirmed	false	subcellular_location	null	C5	no (does not feed classify())	PRODUCER	bool(None and ...) -> False; 'confirmed: false' is an unperformed check rendered as a negative result, the same shape as C2
FGFR1	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
GPC2	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
GPC2	plasma_membrane_confirmed	false	subcellular_location	null	C5	no (does not feed classify())	PRODUCER	bool(None and ...) -> False; 'confirmed: false' is an unperformed check rendered as a negative result, the same shape as C2
PTK7	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
MCAM	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
MCAM	window	"BROAD_LIABILITY"	rna_tissue_specificity	"Group enriched"	C4	YES vs the specificity field alone; no vs the pair of source fields	PRODUCER	TWO source criteria collide on this row: rna_tissue_specificity meets a RESTRICTED criterion and rna_tissue_distribution (Detected in all) meets the BROAD_LIABILITY one. The _note names both criteria and states NO precedence; classify() silently resolves it distribution-first. Stated narrowly: the legend under-determines the row, it is not a flat contradiction
EPHB4	immune_or_circulating	false	rna_blood_cell_specificity	"Immune cell enhanced"	C1	no (already a liability row)	PRODUCER	rule is `'enriched' in blood_spec.lower()`; 'Immune cell enhanced' is real immune-cell expression and the flag named immune_or_circulating reports its absence
EPHB4	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
EPHB4	plasma_membrane_confirmed	false	subcellular_location	null	C5	no (does not feed classify())	PRODUCER	bool(None and ...) -> False; 'confirmed: false' is an unperformed check rendered as a negative result, the same shape as C2
CD276	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
NCAM1	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
FAP	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
FAP	plasma_membrane_confirmed	false	subcellular_location	null	C5	no (does not feed classify())	PRODUCER	bool(None and ...) -> False; 'confirmed: false' is an unperformed check rendered as a negative result, the same shape as C2
ERBB2	immune_or_circulating	false	rna_blood_cell_specificity	"Immune cell enhanced"	C1	no (already a liability row)	PRODUCER	rule is `'enriched' in blood_spec.lower()`; 'Immune cell enhanced' is real immune-cell expression and the flag named immune_or_circulating reports its absence
ERBB2	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
EGFR	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
KIT	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
SSTR2	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
B4GALNT1	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
B4GALNT1	window	"RESTRICTED"	rna_tissue_distribution	"Detected in many"	C3	no (label unchanged; its gloss is unsupported)	PRODUCER	_note glosses RESTRICTED as 'confined to one/few tissues'; the distribution field beside it says the transcript is detected in many. classify() never reads distribution on this branch
B4GALNT1	plasma_membrane_confirmed	false	subcellular_location	null	C5	no (does not feed classify())	PRODUCER	bool(None and ...) -> False; 'confirmed: false' is an unperformed check rendered as a negative result, the same shape as C2
DLL3	immune_or_circulating	false	rna_blood_cell_specificity	"Immune cell enhanced"	C1	YES	PRODUCER	rule is `'enriched' in blood_spec.lower()`; 'Immune cell enhanced' is real immune-cell expression and the flag named immune_or_circulating reports its absence
DLL3	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
GPC3	immune_or_circulating	false	rna_blood_cell_specificity	"Immune cell enhanced"	C1	YES	PRODUCER	rule is `'enriched' in blood_spec.lower()`; 'Immune cell enhanced' is real immune-cell expression and the flag named immune_or_circulating reports its absence
GPC3	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
GPC3	window	"RESTRICTED"	rna_tissue_distribution	"Detected in many"	C3	no (label unchanged; its gloss is unsupported)	PRODUCER	_note glosses RESTRICTED as 'confined to one/few tissues'; the distribution field beside it says the transcript is detected in many. classify() never reads distribution on this branch
B2M	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
CD3E	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
CD248	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
CSPG4	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
PRAME	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
MSLN	immune_or_circulating	false	rna_blood_cell_specificity	"Immune cell enhanced"	C1	no (already a liability row)	PRODUCER	rule is `'enriched' in blood_spec.lower()`; 'Immune cell enhanced' is real immune-cell expression and the flag named immune_or_circulating reports its absence
MSLN	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
L1CAM	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
ALPP	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
ALPPL2	(none scored)	null	_status	"symbol mismatch \u2014 record DISCARDED, nothing scored"	-	no	CLEAN	record discarded on symbol mismatch; no derived flag exists to contradict anything
CDH17	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
LRRC15	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
PDGFRB	immune_or_circulating	false	rna_blood_cell_specificity	"Immune cell enhanced"	C1	no (already a liability row)	PRODUCER	rule is `'enriched' in blood_spec.lower()`; 'Immune cell enhanced' is real immune-cell expression and the flag named immune_or_circulating reports its absence
PDGFRB	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
ANTXR1	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
TNC	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
TNC	window	"BROAD_LIABILITY"	rna_tissue_specificity	"Tissue enhanced"	C4	YES vs the specificity field alone; no vs the pair of source fields	PRODUCER	TWO source criteria collide on this row: rna_tissue_specificity meets a ENHANCED_BROAD criterion and rna_tissue_distribution (Detected in all) meets the BROAD_LIABILITY one. The _note names both criteria and states NO precedence; classify() silently resolves it distribution-first. Stated narrowly: the legend under-determines the row, it is not a flat contradiction
TNC	plasma_membrane_confirmed	false	subcellular_location	null	C5	no (does not feed classify())	PRODUCER	bool(None and ...) -> False; 'confirmed: false' is an unperformed check rendered as a negative result, the same shape as C2
MMP14	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
POSTN	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
THY1	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
CD44	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
CD44	window	"BROAD_LIABILITY"	rna_tissue_specificity	"Tissue enhanced"	C4	YES vs the specificity field alone; no vs the pair of source fields	PRODUCER	TWO source criteria collide on this row: rna_tissue_specificity meets a ENHANCED_BROAD criterion and rna_tissue_distribution (Detected in all) meets the BROAD_LIABILITY one. The _note names both criteria and states NO precedence; classify() silently resolves it distribution-first. Stated narrowly: the legend under-determines the row, it is not a flat contradiction
VCAN	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
SDC1	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
GPC1	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
MAGEA4	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
CTAG1B	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
TAP1	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
ROR1	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
ROR1	plasma_membrane_confirmed	false	subcellular_location	null	C5	no (does not feed classify())	PRODUCER	bool(None and ...) -> False; 'confirmed: false' is an unperformed check rendered as a negative result, the same shape as C2
ROR2	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
ROR2	plasma_membrane_confirmed	false	subcellular_location	null	C5	no (does not feed classify())	PRODUCER	bool(None and ...) -> False; 'confirmed: false' is an unperformed check rendered as a negative result, the same shape as C2
CD70	immune_or_circulating	false	rna_blood_cell_specificity	"Immune cell enhanced"	C1	no (already a liability row)	PRODUCER	rule is `'enriched' in blood_spec.lower()`; 'Immune cell enhanced' is real immune-cell expression and the flag named immune_or_circulating reports its absence
CD70	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
IGF1R	immune_or_circulating	false	rna_blood_cell_specificity	"Immune cell enhanced"	C1	no (already a liability row)	PRODUCER	rule is `'enriched' in blood_spec.lower()`; 'Immune cell enhanced' is real immune-cell expression and the flag named immune_or_circulating reports its absence
IGF1R	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
ALCAM	immune_or_circulating	false	rna_blood_cell_specificity	"Immune cell enhanced"	C1	YES	PRODUCER	rule is `'enriched' in blood_spec.lower()`; 'Immune cell enhanced' is real immune-cell expression and the flag named immune_or_circulating reports its absence
ALCAM	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
ALCAM	window	"RESTRICTED"	rna_tissue_distribution	"Detected in many"	C3	no (label unchanged; its gloss is unsupported)	PRODUCER	_note glosses RESTRICTED as 'confined to one/few tissues'; the distribution field beside it says the transcript is detected in many. classify() never reads distribution on this branch
EPHA2	vital_tissue	[]	rna_tissue_specific_nTPM	null	C2	no (branch never fires)	PRODUCER	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
CSPG4 (surfaceome-instrument-limits.json)	limits.L4_cspg4_coverage_gap.in_emc_surface_normal_window	false	emc-surface-normal-window.json antigens.CSPG4.window	"ENHANCED_BROAD"	C6	no (CSPG4's own window is unaffected)	DATA	producer computes `'CSPG4' in json.dumps(normal_window)` live; against the committed normal-window file that is True. The committed false predates the run that added CSPG4 (see _drift_vs_previous_artifact.newly_added_this_run). Re-running the unchanged producer fixes it
