sample_id	kind	source_publication	n	primary_recurrent_metastatic	anatomic_site	fusion_partner	five_prime_exon	nr4a3_exon	rna_confirmed	histologic_variant	model_format	authentication_status	assay_platform	raw_data_available	response_data_available	notes
MODEL-USZ20-EMC1	cell_model	emcModels2023	1	to_confirm	to_confirm	EWSR1	EWSR1_ex13	NR4A3_ex2	true	conventional	3D_sarcosphere	molecularly_matched_to_source_tumor	drug_screen_17chemo+targeted_panel; molecular_characterization	request_from_owner	true	EWSR1 ex13::NR4A3 ex2 patient-derived model. One of the two USZ models; carries the common fusion. Primary drug-screen substrate for the proteostasis-chromatin hypothesis.
MODEL-USZ22-EMC2	cell_model	emcModels2023	1	to_confirm	to_confirm	TAF15	TAF15_ex6	NR4A3_ex2	true	to_confirm	3D_sarcosphere	molecularly_matched_to_source_tumor	drug_screen_17chemo+targeted_panel; molecular_characterization	request_from_owner	true	TAF15::NR4A3 patient-derived model — the ONLY modern TAF15 model. Essential for fusion-subtype-stratified analysis; do not pool with USZ20-EMC1.
MODEL-NCC-EMC1-C1	cell_model	emcCellLine2025	1	to_confirm	to_confirm	EWSR1_tentative	to_confirm	to_confirm	true	to_confirm	2D_cell_line	characterized_2025	drug_screen_221cpd; molecular_characterization	request_from_owner	true	Third modern model (Iwata 2025). Fusion asserted as EWSR1::NR4A3 in secondary reads but NOT confirmed from primary full text (egress block) — tagged tentative. Screened against 221 agents (brigatinib, panobinostat, romidepsin = low-IC50 hits).
MODEL-H-EMC-SS	cell_model	unknown	1	unknown	unknown	to_confirm	to_confirm	to_confirm	to_confirm	unknown	2D_cell_line	REQUIRES_AUTHENTICATION_BEFORE_USE	historical	unknown	false	Classic historical EMC line. Per strategy go/no-go: use ONLY after molecular authentication of the fusion. Registered so historical results can be traced, not endorsed. Citation to be added once verified.
COHORT-Huang2023	tumor_cohort	warmke2023	58	mixed	mixed	EWSR1(46)/TAF15(9)/TCF12(2)/unpartnered(1)	per_case	per_case	true	conventional+variant	tissue	molecularly_confirmed	fusion_testing; IHC	no	partial	58/58 NR4A3-rearranged. Anchor cohort for fusion-partner frequency and TAF15-vs-EWSR1 morphology.
COHORT-Agaram2014	tumor_cohort	agaram2014	26	mixed	mixed	EWSR1(16)/TAF15(7)/TCF12(1)/other	per_case	per_case	true	conventional+rhabdoid+high_grade	tissue	molecularly_confirmed	fusion_testing	no	no	Variant (non-EWSR1) fusions correlate with rhabdoid phenotype / high-grade morphology.
COHORT-Davis2017-metastatic	tumor_cohort	emcNGS2017	small	metastatic	mixed	EWSR1	per_case	per_case	true	unknown	tissue	molecularly_confirmed	NGS; expression	no	partial	Metastatic EWSR1::NR4A3; no recurrent secondary driver; RET expression elevated; folate-receptor in a minority.
PATIENT-matchedTrioWGS	patient_trio	matchedTrioWGS	1	primary+lung_met+pelvic_met	multiple	EWSR1	to_confirm	to_confirm	to_confirm	unknown	tissue	molecularly_confirmed	WGS	request_from_owner	unknown	One patient, 3 samples. EWSR1::NR4A3 is the shared founding lesion; SV burden 53(primary)->46(lung)->163(late pelvic met). Evidence for a quiet, clonal fusion + late-emerging drivers.
DATASET-GSE4303	expression_dataset	GSE4303	few	unknown	unknown	unknown	unknown	unknown	unknown	unknown	tissue	public	legacy_microarray	true	no	Public EMC expression. Reprocess raw CEL with current annotation + QC before use. Fusion-partner metadata likely absent.
DATASET-GSE24369	expression_dataset	GSE24369	~6 EMC	unknown	unknown	unknown	unknown	unknown	unknown	unknown	tissue	public	legacy_microarray	true	no	Sarcoma compendium with ~6 EMC comparison tumors. Analyze on its own platform; rank-based meta-analysis across platforms, never naive matrix merge.
