claim_id	section	claim_as_written_short	cited_support_in_ms	rederived_or_campaign_evidence	verdict	establishing_lane_or_artifact
C01	Abstract,§1,§4.1	NR4A3 LBD best cavity fpocket druggability 0.495, sub-threshold	nr4a3-structure-assessment.json	Re-derived 0.495 exactly (Pocket 5, resid 406-534, 10 lining residues); TAD frac pLDDT<50 = 0.965	STANDS	research/modalities/nr4a3-structure-assessment.json (this lane, checks/01)
C02	Abstract,§4.1,§8	FLI1 gene effect -0.93, 74% of lines dependent, n=27 Ewing	depmap-sarcoma-dependency.json	Re-derived -0.934 / 0.741 / n=27 exactly	STANDS	research/modalities/depmap-sarcoma-dependency.json (this lane, checks/01)
C03	Abstract,§4.1,§7,§8	"FET-fusion sarcomas are fusion-addicted as a class" (class prior supporting the degrader premise)	FLI1/Ewing DepMap analogy	Tested directly in owned data: FET comparator (LGFMS, FUS::CREB3L2) vs non-FET, PRMT5 t = -0.160, delta = -0.008 SD (CI -0.101..+0.086), p = 0.873. FET-fusion driver status carries no class-level signal on that axis	FALSIFIED	PUB-MTAP-PRMT5 lane (fet-class-transfer-test.json)
C04	§4.1,§8	The EWSR1 moiety shared with EWS-FLI1 raises the prior for EMC fusion addiction	class-level analogy, partners differ	EWSR1 in the same DepMap panel: selectivity +0.373 (largest in panel) but rest_frac_dependent 0.915 and sarcoma_frac_dependent 0.967 - a near-universal essentiality, i.e. a pan-essential trap, not a sarcoma window	NARROWED	SYNLETH-2 / PUB-SYNLETH; re-derived from depmap-sarcoma-dependency.json (this lane, checks/01)
C05	§4.1	frac_dependent figures (74%, and every frac in the panel) are read as dependency structure	depmap-sarcoma-dependency.json	The artifact records one fraction per arm at one fixed cut (dependent_threshold = -0.5) only. A threshold sweep is not computable from the published artifact; the 0.741 is not checkable at any other cut	NOT-CHECKABLE-LOCALLY	DEP-THRESHOLD lane; dependent_threshold field re-read (this lane, checks/01)
C06	§5,§8	BRD9/ncBAF "not selectively essential in sarcoma - not even in Ewing"	DepMap	Re-derived BRD9 selectivity -0.016, sarcoma_frac_dependent 0.022. The direction holds at t = -0.5; per DEP-THRESHOLD a near-zero fraction is one-sided only under a looser cut	NARROWED	depmap-sarcoma-dependency.json (this lane, checks/01) + DEP-THRESHOLD
C07	Abstract,§4.2	0 of 5 designed gapmers are transcriptome-clean	aso-insilico-evaluation.json	Re-derived n_candidates_zero_offtarget = 0 of n_evaluated = 5; 186185 transcripts scanned	STANDS	research/modalities/aso-insilico-evaluation.json (this lane, checks/01)
C08	§4.2	"best candidate: 0 exact but 8 one-mismatch hits"	aso-insilico-evaluation.json	Re-derived top_designs[0]: offtarget_exact 0, offtarget_le1mm 8; min over all five = 8. Note the artifact's own offtarget_hits list carries only 5 entries against the count of 8	STANDS (with an artifact-internal list/count mismatch noted)	research/modalities/aso-insilico-evaluation.json (this lane, checks/01)
C09	§4.2	"The junction sites are poorly accessible (best ~0.35 unpaired probability)"	aso-insilico-evaluation.json	Re-derived per-design site_accessibility = 0.353, 0.369, 0.417, 0.338, 0.381. The maximum is 0.417, not ~0.35; 0.353 is the accessibility of the top-RANKED design (ranking is off-target-count first), which is not the best accessibility	UNSUPPORTED-BY-CITED-ARTIFACT	research/modalities/aso-insilico-evaluation.json (this lane, checks/01)
C10	§4.2	"They are GC-rich (~75%)"	aso-insilico-evaluation.json	Re-derived gc_percent takes two values, 75.0 (3 designs) and 81.2 (2 designs). The ~75-81% range stated earlier in the same section is right; the results paragraph's flat "~75%" understates the two seed-straddling designs	NARROWED	research/modalities/aso-insilico-evaluation.json (this lane, checks/01)
C11	§4.2	"only 2 of 5 place the RISC seed across the junction"	aso-insilico-evaluation.json	Re-derived n_candidates_fusion_specific_sirna_seed = 2; those two are exactly the 81.2% GC designs, carrying 58 and 95 one-mismatch off-targets - the seed-straddling property and the specificity bar are anti-correlated in this set	STANDS (materially incomplete as written)	research/modalities/aso-insilico-evaluation.json (this lane, checks/01)
C12	§4.1,§7	De-novo selective warhead/binder design is "running (pipelines built, results pending)"	nr4a3-degrader-paper.md / program map	The program map records Route A (a warhead engaging paralogue-divergent pocket handles) as "blocked, nothing running"; Route B "blocked on R5, nothing running"; Route C "parked, nothing running"	FALSIFIED	research/manuscripts/nr4a3-program-map.md lines 2926, 3040, 3190
C13	§4.1	"7 divergent pocket residues identified as selectivity handles, of which only 4 of the 5 engageable ones distinguish NR4A2"	nr4a-selectivity.json	Re-derived Pocket 5 n_divergent = 7 (L406,T407,T410,R412,I484,I531,L534); all 7 differ from NR4A1; 6 of 7 differ from NR4A2 (I531 is Ile in both). The "5 engageable" subset is defined in nr4a3-program-map.md, not in nr4a-selectivity.json, so the 4-of-5 step cannot be re-derived from the cited artifact alone	UNSUPPORTED-BY-CITED-ARTIFACT (consistent with program-map §2.4)	research/modalities/nr4a-selectivity.json (this lane, checks/01); nr4a3-program-map.md line 1704
C14	§4.1	"NR4A3-selective - NR4A1-sparing mandatory, NR4A2-sparing best-effort" as the design target	nr4a3-program-map.md §2.4	This is stated in the manuscript as "a specification for the warhead, not a demonstrated property" - correctly fenced	STANDS	research/manuscripts/nr4a3-program-map.md §2.4
C15	§4.1	Cryptic pocket opens to fpocket druggability 0.751, "above the calibrated drug-bound NR band - preliminary, 30 ns in progress"	nr4a3-degrader-paper.md	The degrader paper records 0.751 from a 5 ns validation against an equilibrated production-frame-0 baseline. Not re-derivable from any artifact in this repository read-only; the campaign lane on that paper (DEGRADER-2) addressed frame-level exposure separation, not this pocket score	NOT-CHECKABLE-LOCALLY	research/manuscripts/degrader/nr4a3-degrader-paper.md:383; DEGRADER-2 lane
C16	§4.1 (inherited)	The degrader paper's paralogue selectivity separation is a clean no-overlap result	nr4a3-degrader-paper.md	DEGRADER-2 falsified the no-overlap sentence with an exact count: three NR4A3 C397 frames sit at or below the paralogue reference; pairwise dominance 0.9993 against 825 paralogue observations, and the fraction is a geometric ranking statement, not evidence of selective labelling	FALSIFIED	DEGRADER-2 lane
C17	Abstract,§5	B7-H3/CD276 expressed in 99% of sarcoma lines, DepMap mean 5.73 log2(TPM+1)	depmap-target-expression.json	Re-derived sarcoma_mean_log2tpm 5.73 and sarcoma_frac_expressed 0.99 exactly. Denominator is n_sarcoma = 131 for the gene record, while the file header states n_sarcoma_lines = 176 - the manuscript's bare "sarcoma lines" does not disclose which	STANDS (denominator undisclosed)	research/modalities/depmap-target-expression.json (this lane, checks/01)
C18	§5	B7-H3 "internalises", supplying the internalising handle the §4.2 delivery proposal borrows	§5 / surface analysis	No internalisation measurement exists in the cited DepMap expression artifact; internalisation is not an expression read	UNSUPPORTED-BY-CITED-ARTIFACT	research/modalities/depmap-target-expression.json (this lane, checks/01)
C19	§5,§4.2	B7-H3 is a clean surface handle for an AOC/LNP delivery vector	surface-target analysis	The surface producer's vital-tissue screen has never fired: vital_tissue is [] on all 45 scored rows because it is derived from a rna_tissue_specific_nTPM that is null. No candidate in that file has ever been screened against a vital tissue	UNSUPPORTED-BY-CITED-ARTIFACT	SURFACE-2 lane (WINDOW-CONSISTENCY-AUDIT.tsv, class C2)
C20	§5	PRAME expressed in 53% of sarcoma lines; NY-ESO-1 5%, MAGE-A4 7%	depmap-target-expression.json	Re-derived PRAME 0.53, CTAG1B 0.05, MAGEA4 0.07 exactly	STANDS	research/modalities/depmap-target-expression.json (this lane, checks/01)
C21	§5,§8	The single myxoid-matched line reads CD276 4.4, PRAME 7.6, CD56 ~0	depmap-target-expression.json	Re-derived CD276 myxoid n=1 mean 4.44; the manuscript already carries the 2026-08-05 corrections that this is ACH-001519 / H-EMC-SS, one line of disputed identity	STANDS (already corrected in place)	research/modalities/depmap-target-expression.json (this lane, checks/01)
C22	§5,§7,References	The HLA-coverage analysis is retained as input to TCR-T/ADC eligibility; fusion-junction vaccine parked as weak immunogen	hla-coverage.json	The junction-epitope evidence base under it is n = 15 validated epitopes across nine fusion oncoproteins against a requirement of 93 at sensitivity 0.5 for a 95% CI width <= 0.20; at n = 15 the achievable width is 0.4515	NARROWED	EPITOPE-BENCHMARK and VACCINE-PATH-2 lanes
C23	§3 table (Axis A)	B7-H3 / PRAME / FAP rows are "Confirm-gated - an approved/clinical agent that needs exactly one EMC target test (one IHC/PET) before use"	rubric defined in §2	"Needs exactly one test before use" is a clinical-readiness statement: it asserts what remains between the present state and administering an agent. Nothing computational establishes it, and the surrogate underneath the promotion has an unfired vital-tissue screen	UNSUPPORTED-BY-CITED-ARTIFACT (readiness language)	SURFACE-2 lane; §2 rubric is a definition, not evidence
C24	§3 table	B7-H3 ADC/bispecific is the "fastest such route"	none cited	A speed ordering over untested routes is a readiness claim with no computational support	UNSUPPORTED-BY-CITED-ARTIFACT (readiness language)	no cited artifact
