integration_row_key	code	incompatibility	a_state	a_reported_denominator_participants	b_denominator_value_participants	c_arm_link_state	c_contested_flags	c_sole_arm_multi_results_group_flag	resolution	source_pointer
NCT00836888|OM4|OG000	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	3	3	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00836888] :: outcomeMeasures[4] :: groups[OG000]
NCT00836888|OM4|OG001	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	5	5	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00836888] :: outcomeMeasures[4] :: groups[OG001]
NCT00836888|OM4|OG002	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	6	6	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00836888] :: outcomeMeasures[4] :: groups[OG002]
NCT00836888|OM4|OG003	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	3	3	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00836888] :: outcomeMeasures[4] :: groups[OG003]
NCT00946153|OM2|OG000	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	6	6	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00946153] :: outcomeMeasures[2] :: groups[OG000]
NCT00946153|OM2|OG001	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	3	3	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00946153] :: outcomeMeasures[2] :: groups[OG001]
NCT00946153|OM2|OG002	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	6	6	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00946153] :: outcomeMeasures[2] :: groups[OG002]
NCT00946153|OM2|OG003	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	5	5	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00946153] :: outcomeMeasures[2] :: groups[OG003]
NCT01124734|OM0|OG000	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	17		PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01124734] :: outcomeMeasures[0] :: groups[OG000]
NCT01124734|OM0|OG001	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	17		PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01124734] :: outcomeMeasures[0] :: groups[OG001]
