candidate	window_as_committed	verdict	hit_classes	n_hits	worst_hit_derived_field	worst_hit_derived_value	worst_hit_source_field	worst_hit_source_value	error_kind	changes_window_classification	note
CDH11	ENHANCED_BROAD	HIT	C2,C5	2	vital_tissue	[]	rna_tissue_specific_nTPM	null	PRODUCER	no (branch never fires)	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
FGFR1	BROAD_LIABILITY	HIT	C2	1	vital_tissue	[]	rna_tissue_specific_nTPM	null	PRODUCER	no (branch never fires)	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
GPC2	ENHANCED_BROAD	HIT	C2,C5	2	vital_tissue	[]	rna_tissue_specific_nTPM	null	PRODUCER	no (branch never fires)	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
PTK7	VITAL_OR_IMMUNE_LIABILITY	HIT	C2	1	vital_tissue	[]	rna_tissue_specific_nTPM	null	PRODUCER	no (branch never fires)	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
MCAM	BROAD_LIABILITY	HIT	C2,C4	2	window	"BROAD_LIABILITY"	rna_tissue_specificity	"Group enriched"	PRODUCER	YES vs the specificity field alone; no vs the pair of source fields	TWO source criteria collide on this row: rna_tissue_specificity meets a RESTRICTED criterion and rna_tissue_distribution (Detected in all) meets the BROAD_LIABILITY one. The _note names both criteria and states NO precedence; classify() silently resolves it distribution-first. Stated narrowly: the legend under-determines the row, it is not a flat contradiction
EPHB4	BROAD_LIABILITY	HIT	C1,C2,C5	3	immune_or_circulating	false	rna_blood_cell_specificity	"Immune cell enhanced"	PRODUCER	no (already a liability row)	rule is `'enriched' in blood_spec.lower()`; 'Immune cell enhanced' is real immune-cell expression and the flag named immune_or_circulating reports its absence
CD276	BROAD_LIABILITY	HIT	C2	1	vital_tissue	[]	rna_tissue_specific_nTPM	null	PRODUCER	no (branch never fires)	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
NCAM1	VITAL_OR_IMMUNE_LIABILITY	HIT	C2	1	vital_tissue	[]	rna_tissue_specific_nTPM	null	PRODUCER	no (branch never fires)	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
FAP	ENHANCED_BROAD	HIT	C2,C5	2	vital_tissue	[]	rna_tissue_specific_nTPM	null	PRODUCER	no (branch never fires)	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
ERBB2	BROAD_LIABILITY	HIT	C1,C2	2	immune_or_circulating	false	rna_blood_cell_specificity	"Immune cell enhanced"	PRODUCER	no (already a liability row)	rule is `'enriched' in blood_spec.lower()`; 'Immune cell enhanced' is real immune-cell expression and the flag named immune_or_circulating reports its absence
