obs_id	nct	om_index	results_group_id	in_integrated_552	coverage_state	cohort_key	n_observations_in_cohort_set	encoding_identity_status	semantic_duplication_status	distinction_basis	unresolved_states_v2	denominator_state	denominator_value_participants	reporting_status_state	usable_for_proportion_at_b_scope	unusable_reason	cross_observation_disjointness_state
NCT01744249#om1#OG000	NCT01744249	1	OG000	yes	COVERED_BY_A_AND_C	NCT01744249||axitinib + sandostatin lar	2	NON_IDENTICAL_ENCODING_ON_PRESERVED_FIELDS	UNRESOLVED__SEMANTIC_CORRESPONDENCE_NOT_ESTABLISHED	INCLUDES_STRUCTURED_FIELD	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_DENOMINATORS|SEMANTIC_DUPLICATION_UNRESOLVED	PRESENT	126	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT01744249#om1#OG001	NCT01744249	1	OG001	yes	COVERED_BY_A_AND_C	NCT01744249||placebo + sandostatin lar	2	NON_IDENTICAL_ENCODING_ON_PRESERVED_FIELDS	UNRESOLVED__SEMANTIC_CORRESPONDENCE_NOT_ESTABLISHED	INCLUDES_STRUCTURED_FIELD	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_DENOMINATORS|SEMANTIC_DUPLICATION_UNRESOLVED	PRESENT	130	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT01744249#om5#OG000	NCT01744249	5	OG000	yes	COVERED_BY_A_AND_C	NCT01744249||axitinib + sandostatin lar	2	NON_IDENTICAL_ENCODING_ON_PRESERVED_FIELDS	UNRESOLVED__SEMANTIC_CORRESPONDENCE_NOT_ESTABLISHED	INCLUDES_STRUCTURED_FIELD	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_DENOMINATORS|SEMANTIC_DUPLICATION_UNRESOLVED	PRESENT	117	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT01744249#om5#OG001	NCT01744249	5	OG001	yes	COVERED_BY_A_AND_C	NCT01744249||placebo + sandostatin lar	2	NON_IDENTICAL_ENCODING_ON_PRESERVED_FIELDS	UNRESOLVED__SEMANTIC_CORRESPONDENCE_NOT_ESTABLISHED	INCLUDES_STRUCTURED_FIELD	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_DENOMINATORS|SEMANTIC_DUPLICATION_UNRESOLVED	PRESENT	126	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT02259582#om0#OG000	NCT02259582	0	OG000	yes	COVERED_BY_A_AND_C	NCT02259582||placebo/placebo arm (arm 1)	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NOT_APPLICABLE__SINGLE_OBSERVATION	NONE	SINGLE_OBSERVATION	PRESENT	25	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT02259582#om0#OG001	NCT02259582	0	OG001	yes	COVERED_BY_A_AND_C	NCT02259582||demcizumab/placebo arm (arm 2)	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NOT_APPLICABLE__SINGLE_OBSERVATION	NONE	SINGLE_OBSERVATION	PRESENT	28	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT02259582#om0#OG002	NCT02259582	0	OG002	yes	COVERED_BY_A_AND_C	NCT02259582||demcizumab/demcizumab arm (arm 3)	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NOT_APPLICABLE__SINGLE_OBSERVATION	NONE	SINGLE_OBSERVATION	PRESENT	29	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT02204982#om1#OG000	NCT02204982	1	OG000	yes	COVERED_BY_A_AND_C	NCT02204982||duvelisib + rituximab	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NOT_APPLICABLE__SINGLE_OBSERVATION	NONE	SINGLE_OBSERVATION	PRESENT	5	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT02204982#om1#OG001	NCT02204982	1	OG001	yes	COVERED_BY_A_AND_C	NCT02204982||placebo + rituximab	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NOT_APPLICABLE__SINGLE_OBSERVATION	NONE	SINGLE_OBSERVATION	PRESENT	6	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT02263508#om4#OG000	NCT02263508	4	OG000	yes	COVERED_BY_A_AND_C	NCT02263508||phase 1b: talimogene laherparepvec + pembrolizumab	4	NON_IDENTICAL_ENCODING_ON_PRESERVED_FIELDS	UNRESOLVED__SEMANTIC_CORRESPONDENCE_NOT_ESTABLISHED	INCLUDES_STRUCTURED_FIELD	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_PARAMTYPE_OR_UNIT|SEMANTIC_DUPLICATION_UNRESOLVED	PRESENT	21	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT02263508#om14#OG000	NCT02263508	14	OG000	yes	COVERED_BY_A_AND_C	NCT02263508||phase 3: placebo + pembrolizumab	9	NON_IDENTICAL_ENCODING_ON_PRESERVED_FIELDS	UNRESOLVED__SEMANTIC_CORRESPONDENCE_NOT_ESTABLISHED	INCLUDES_STRUCTURED_FIELD	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_ASSESSMENT_CRITERIA|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_PARAMTYPE_OR_UNIT|SEMANTIC_DUPLICATION_UNRESOLVED	PRESENT	346	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
